# name zcmb mb dmb in_pantheon
2011fe 0.00122 9.746577703917369 1.5162100012414346 False
2011fe 0.00122 9.80372770391737 1.5172300012406 False
2012cg 0.00256 11.47272719496195 0.7819060024025866 False
2012cg 0.00256 11.494327194961949 0.7986120023523273 False
1994DRichmond 0.00299 11.52512615379793 0.8807980085240225 False
1981B 0.0035 11.54406824685011 0.6139410007635564 False
2013aa 0.00478 11.208848448216 0.5940701770114198 False
2013aa 0.00478 11.301248448215999 0.5796221814237096 False
2017cbv 0.00478 11.149748448216 0.5778151819910755 False
2017cbv 0.00478 11.259148448216 0.5779161819592696 False
2001el 0.00357 12.247624027646257 0.5903890007928296 False
2011by 0.00369 12.541511892029073 0.5520600033933261 False
1998aq 0.00369 12.244911892029073 0.5448240008595985 False
1990N 0.00462 12.446214022914456 0.5503320033994078 False
2021pit 0.00366 11.746424070322877 0.5658610008270475 False
2005df 0.00435 12.1403 0.4756380009827927 False
2005df_ANU 0.00435 12.1249 0.4785150009768838 False
2013dy 0.00293 12.24381432049034 0.5135491313139966 False
2013dy 0.00293 12.30591432049034 0.5301511272018202 False
2012ht 0.00465 12.680343781235386 0.4411910042403473 False
2012ht 0.00465 12.782443781235386 0.41953500445923003 False
1980N 0.0046 11.993843596475813 0.5579510075338587 False
2012fr 0.0046 11.879408420740358 0.44606623559565217 False
2007on 0.0046 12.398830029258585 0.564078186308039 False
2012fr 0.0046 11.969708420740357 0.409689256514588 False
1992A 0.0046 12.086308420740357 0.5619411870146874 False
2007on 0.0046 12.509830029258586 0.5738081831488349 False
2015F 0.00515 12.195142698678389 0.44745000417379316 False
2015F 0.00515 12.286842698678388 0.40613200459841564 False
2011B 0.00458 12.398329698217719 0.5136920009096257 False
2018aoz 0.00701 12.477659638738048 0.500704209186974 False
2016coj 0.00489 12.659499682295401 0.46885103586734134 False
SN2016coj 0.00489 12.646299682295401 0.482914034822844 False
2007sr 0.0066 12.429447030086186 0.37494200497050345 False
2007sr 0.0066 12.378747030086187 0.38481000484304073 False
2007gi 0.00505 12.488229240273617 0.49062400380741644 False
1994ae 0.0054 12.931641957218197 0.3385680013793473 False
2015bp 0.00603 13.21688185201399 0.48630700383453485 False
2018gv 0.00596 12.689257196091633 0.34327430567520983 False
2018gv 0.00596 12.815457196091632 0.34264530623634315 False
2018gv 0.00596 12.659057196091632 0.3492063004826766 False
1981D 0.00551 11.654122692802181 0.5242970080028659 False
2006dd 0.00551 11.931922692802182 0.45142900929465896 False
2007af 0.00635 12.81549168853072 0.324810001434629 False
2007af 0.00635 12.75109168853072 0.36055000129241954 False
2007af 0.00635 12.84869168853072 0.32168000144858827 False
2007af 0.00635 12.782491688530719 0.33809000137827755 False
2007le 0.00552 12.819810083091163 0.5333080008734367 False
2007le 0.00552 12.828710083091163 0.5366560008679877 False
2007le 0.00552 12.764710083091163 0.5374820008666538 False
1998dm 0.00567 13.578141843238955 0.5622541863872141 False
2014bv 0.00548 13.147423969805233 0.48181118976050696 False
2019np 0.0055 13.20991743478169 0.317328 False
2019np 0.0055 13.18291743478169 0.321157 False
1997br 0.00801 12.481298413942323 0.5304821970292212 False
2011iv 0.00594 11.96803092158069 0.4198392496492645 False
1995al 0.00592 13.108200481205344 0.35843104684453325 False
1996X 0.00812 12.722455051098375 0.4145862520479372 False
2017erp 0.00727 12.943501722154831 0.3394583082432253 False
2017erp 0.00727 12.921301722154832 0.3701422826905251 False
2017erp 0.00727 12.953201722154832 0.3469003016305298 False
1992G 0.00611 13.189400122149715 0.43880400106249606 False
2005cf 0.00703 13.06757259781202 0.3244650516194078 False
2005cf 0.00703 13.080972597812021 0.3472690482297335 False
2005cf 0.00703 13.070372597812021 0.3215230520917357 False
2002fk 0.00668 13.18820017632466 0.29909334984998254 False
2002fk 0.00668 13.21010017632466 0.2990533498967769 False
2003du 0.00664 13.541860931167712 0.28787000646749417 False
2003du 0.00664 13.489860931167712 0.29352000634300063 False
2003du 0.00664 13.516060931167711 0.2911610063943919 False
2008Q 0.00722 13.075959013727418 0.37286600498103034 False
2008Q 0.00722 13.044559013727417 0.3957320046932188 False
2003kf 0.00769 13.389446566615387 0.3617120051366637 False
1998dh 0.00769 13.460729565186151 0.3158790058730028 False
1998dh 0.00769 13.35942956518615 0.31630600586507446 False
2012hr 0.00788 13.456867996181755 0.3665610050668533 False
2009ig 0.00801 13.1164634118651 0.37094400500038444 False
2009ig 0.00801 13.488763411865099 0.2788440066519724 False
2009ig 0.00801 13.4160634118651 0.28570200649229827 False
1996Z 0.00867 13.194869380517654 0.49004421302565293 False
1995D 0.0078 13.233414567877812 0.3415960054423982 False
1991M 0.00758 13.961489753208085 0.462045001005549 False
2013gh 0.00775 13.265717141105563 0.4648282245105833 False
2013gh 0.00775 13.436917141105562 0.48411321556704195 False
2001bg 0.00796 13.441459463401436 0.3582020012966598 False
2005W 0.00861 13.59699869238283 0.31688400584550036 False
ASASSN-15so 0.00773 13.50123045834429 0.2662140017454024 False
PSNJ0717457 0.00812 13.470441910695056 0.382481001213676 False
2005am 0.00841 13.12372687789763 0.3372451376430732 False
2005am 0.00841 13.14382687789763 0.3301941405823176 False
2005am 0.00841 13.084326877897631 0.33679813782575363 False
1997bp 0.00931 13.169254030583023 0.42436024569624214 False
2019ein 0.00837 13.609935548416106 0.32591900142372565 False
2002er 0.00853 13.545956938298737 0.36787000126016667 False
2002er 0.00853 13.496756938298738 0.4086340011344565 False
2006D 0.00966 13.640831648238441 0.28515004059864446 False
2006D 0.00966 13.64673164823844 0.28157604111395657 False
2006D 0.00966 13.66533164823844 0.2842250407307712 False
2013cs 0.01029 13.084557996895752 0.40045800461924896 False
1999cp 0.00998 13.78885739583117 0.2676226241078179 False
1999cp 0.00998 13.962457395831171 0.2521886623033526 False
2002cr 0.00998 13.979857395831171 0.2504556668860866 True
2002cr 0.00998 13.995857395831171 0.2534516590029633 True
2002dj 0.01051 13.65027901638188 0.30836879299281433 False
2002dj 0.01051 13.61467901638188 0.3333977334608698 False
1998es 0.00957 13.547750176139393 0.3568702913924573 False
1998es 0.00957 13.661350176139395 0.3718522796521992 False
PTF10icb 0.009 14.223247132055885 0.3719000012459184 False
2009Y 0.0105 13.39433378520283 0.40819625472789894 False
2009Y 0.0105 13.494433785202832 0.3592832894066794 False
2009Y 0.0105 13.650133785202831 0.3329133123305281 False
2013E 0.01042 13.528679219484705 0.34750008515025604 False
1999ac 0.00979 13.665888243392988 0.364224005080139 False
1999ac 0.00979 13.715088243392987 0.34081000542914985 False
2009an 0.00921 14.085531686183124 0.30510100151791786 True
2009an 0.00921 13.973031686183125 0.29786500155479245 True
2006bh 0.01042 14.025047952591368 0.24647842146194343 True
2004S 0.0098 13.87167546553113 0.3160760058549274 False
2021hpr 0.00958 13.834330216035308 0.34285500539837077 False
2002dp 0.01049 14.125022813797692 0.3078270014983827 True
2002dp 0.01049 14.037522813797693 0.2732390016880557 True
1997do 0.01048 13.855873760344153 0.36366700508117394 False
1997bq 0.00993 13.815730066925447 0.32288900572820883 False
2008fv_comb 0.00993 13.928330066925446 0.3770030049059971 False
ASASSN-16jf 0.0104 14.315666063086027 0.31369800147083393 False
iPTF13ebh 0.01238 14.47900617531979 0.34142103366143617 False
iPTF13ebh 0.01238 14.38220617531979 0.29398303909314827 False
2010ko 0.01096 14.582000731175318 0.3528780052304161 False
2013ex 0.01096 14.180900731175319 0.2821350065418994 False
2013ex 0.01096 14.242000731175319 0.3240500056957222 False
2009ab 0.01189 14.3296563083202 0.2798701052778116 False
2011ao 0.01168 14.246418556196963 0.3002900015356256 False
2001cz 0.01275 14.627380807296909 0.3453272998280652 False
2009kk 0.01244 14.448399374487659 0.26529638997920546 True
2010Y 0.01142 14.488094518386413 0.25269700182475435 True
2008R 0.0126 14.574292277943304 0.26373639208849564 False
2002ha 0.0122 14.452834327553036 0.2392411921795904 True
2002ha 0.0122 14.469434327553037 0.2486351849186106 True
2009kq 0.01247 14.336073532293158 0.2586544004443055 True
2009kq 0.01247 14.266473532293157 0.26481839112343225 True
2001bt 0.01407 14.49579318280653 0.4157832480887471 False
2001ep 0.01306 14.383371395093615 0.2861073612986474 False
2001ep 0.01306 14.249671395093616 0.3300213132227595 False
2013gy 0.01309 14.481514252826816 0.23825800770953107 False
2013gy 0.01309 14.506714252826816 0.28594800642374646 False
AT2017cfd 0.01222 14.322500356802665 0.291315404478736 False
2017cfd 0.01222 14.314600356802664 0.28350341562423825 False
1999dq 0.01334 14.265307779360153 0.2722 True
1999dq 0.01334 14.217007779360154 0.260204 True
2007hj 0.01288 14.712564652621342 0.3024912564719967 False
2007hj 0.01288 14.728964652621343 0.2981792601808639 False
2007hj 0.01288 14.669064652621342 0.30340725569769633 False
2008hv 0.0136 14.546250619385633 0.2765400814073921 True
2008hv 0.0136 14.517550619385633 0.23120609736944017 True
2008hv 0.0136 14.521250619385633 0.23420409612303336 True
1997E 0.01314 14.511878567012525 0.2875262300650329 True
2007cv 0.01361 14.423586509057255 0.3443103002597628 False
1992al 0.01434 14.442729876869738 0.2319640177725383 False
1999dk 0.014 14.55011677652829 0.287538 False
1999dk 0.014 14.40991677652829 0.294973 False
ASASSN-16dn 0.01406 14.57019259851462 0.24941618406689486 False
ASASSN-16la 0.01424 14.589645101786116 0.26411202774649634 False
2005kc 0.01386 14.763067198412086 0.306005 True
2005kc 0.01386 14.769267198412086 0.351302 True
2007ca 0.01509 15.08580448638484 0.36973100123895286 True
2007ca 0.01509 14.92730448638484 0.39598800115680094 True
2007ca 0.01509 15.00120448638484 0.3963170011558406 True
2006N 0.01416 14.6548 0.23899412276894988 True
2006td 0.01504 14.917903733354336 0.36402910174947756 True
2013gq 0.01457 14.501227228732741 0.21460803417780808 False
2004eo 0.0142 14.627524155380597 0.24785004619526824 True
2003gt 0.01422 14.670224196295838 0.2424290075562226 False
2005bo 0.01503 14.504740193607786 0.3895710105851026 True
2005bo 0.01503 14.468340193607785 0.39189101052243863 True
2001fe 0.01448 14.640677257183574 0.23917500191743882 True
2013fa 0.01429 14.534238787819556 0.39643401847997567 False
2000dm 0.01472 14.757086962858523 0.26886900170260103 False
PSNJ2043531 0.01449 14.935060597064831 0.37169400492560817 False
2011df 0.01402 14.598286731792324 0.27624100663689344 False
2005el 0.01483 14.720978602704779 0.2279712892013859 True
2005el 0.01483 14.673078602704779 0.230130286488202 True
2001cn 0.01509 14.634571652273024 0.2937472632612468 False
2005de 0.01495 14.925636860273388 0.265400062070931 False
SN2017jl 0.01529 14.515376817019757 0.30098493931894343 False
ASASSN-16ad 0.01522 14.77845445637153 0.3432450013316655 False
ATLAS16cxr 0.01518 15.088872860958158 0.3719212979650063 False
iPTF16auf 0.01566 14.822768745827117 0.313702 False
2008bc 0.01572 14.781447272922508 0.224850292886584 False
2011im 0.01493 15.017569972389005 0.33928800134754183 False
1999ej 0.01534 15.003047851323773 0.27118701516523114 True
1999ej 0.01534 14.956147851323772 0.25665501602389795 True
2001en 0.01534 14.744369217879836 0.2850450016031208 True
2001en 0.01534 14.630169217879835 0.3127690014610194 True
2001V 0.01592 14.539424080661139 0.2893328035855526 True
2001V 0.01592 14.556424080661138 0.2891498116888128 True
2008ec 0.01506 14.917527576114155 0.26298106257042775 False
2008ec 0.01506 14.874527576114156 0.3332180493815892 False
2008eo 0.01539 15.076477035856403 0.27740425470951374 False
2009nq 0.01527 14.910092214968296 0.2856070015997622 True
2005al 0.01629 14.74754523719384 0.21827305233623628 False
2013hn 0.01629 14.818645237193842 0.2891241580440994 False
2001bf 0.01556 14.738937258530024 0.23776132487083043 False
2001bf 0.01556 14.646737258530024 0.2173233554230483 False
ASASSN-15oh 0.01579 15.136377910772337 0.26899020535517154 False
1994S 0.01619 14.777730982056408 0.2231970020477495 True
1999aa 0.01579 14.915053636542552 0.24138800189468035 False
1999aa 0.01579 14.881053636542553 0.2077240022017345 False
2002cs 0.01538 14.778916475492114 0.27117001517244665 False
iPTF14bdn 0.01636 14.854867124583025 0.2802840016298541 False
2007ss 0.01619 15.162025267684854 0.3453160013231444 False
2010kg 0.01595 14.746493935545168 0.33363800136901195 False
2013fw 0.0157 14.905470930579453 0.216439018985373 False
2013Q 0.01612 14.717143812512905 0.41440100110079614 False
iPTF13dge 0.01581 15.026193118842631 0.2605210017539595 False
2007fs 0.01633 15.085579090816974 0.19617452304093277 False
SN2016gfr 0.0163 14.644666868257985 0.24389426943829493 False
ASASSN-16ip 0.01632 14.913426244121633 0.24499218620912863 False
2007A 0.01646 15.209359279525568 0.35730910333827304 True
2007A 0.01646 15.278559279525568 0.34055110842339165 True
PSNJ0107203 0.01601 14.71216379614107 0.28312402578866813 False
1998ef 0.0161 14.585842635719862 0.288048 True
1998ef 0.0161 14.642342635719864 0.26318 True
ASASSN-15ti 0.01671 15.23509756276012 0.30913805308894593 False
ASASSN-15od 0.01678 15.086149483899533 0.22678500200951082 False
1996bv 0.01673 14.822628148268524 0.29658800615218517 True
1997Y 0.01661 14.945432371786277 0.2127560021455794 True
2001da 0.01658 14.76635290393114 0.30781300148050356 True
2001da 0.01658 14.94465290393114 0.32420600140564404 True
ASASSN-15kx 0.01697 15.353159157310522 0.21815013361925142 False
2000dk 0.01649 14.888464804388954 0.2813981620147107 True
2000dk 0.01649 14.896564804388955 0.2557151782868146 True
2007fb 0.0168 15.145274806358259 0.22004800207011946 True
2007fb 0.0168 15.254474806358258 0.2296570019835043 True
2006ef 0.01694 15.10614308282452 0.218624 True
2008C 0.01709 15.058003675106718 0.2621700017394328 True
2008C 0.01709 15.014903675106718 0.261032001747016 True
2004fz 0.01646 14.52506355123613 0.3295280013837849 False
2006ax 0.01774 15.072468666624259 0.19841351686941439 True
2006ax 0.01774 15.062968666624258 0.19596852331813236 True
1998V 0.01718 14.892646249213671 0.22983600792837564 False
2013gs 0.01748 14.970530362993458 0.31927200571007996 False
2008L 0.01734 15.082226363748266 0.20837317700482966 True
2008L 0.01734 14.992226363748266 0.21171417421156777 True
2009le 0.01739 15.039278495035306 0.24511918570875627 True
2009le 0.01739 14.987178495035305 0.22122820576392097 True
2000dr 0.01765 15.0423246031636 0.3177673220700941 False
2007as 0.01791 15.013825431471792 0.23265314043135382 False
1992bo 0.01805 15.353115605369426 0.19965351231820322 False
2010ai 0.01918 15.72816104400869 0.21680503353126107 False
ASASSN-17co 0.01791 14.946753485366333 0.2792663665259776 False
PS15coh 0.01796 15.18442362938013 0.2252890988844701 False
2009gf 0.01925 15.240726359499583 0.25393000178886915 False
2009gf 0.01925 15.324726359499582 0.29501000153977003 False
2016ffh 0.01851 15.364782350053286 0.23745400191485122 False
ATLAS16cpu 0.01851 15.319282350053285 0.238466001906725 False
2000cu 0.01902 15.352428298133306 0.2761553697756038 False
2011fs 0.01822 15.291319298858141 0.21381600212485494 False
2011fs 0.01822 15.231319298858141 0.3198860014202809 False
ASASSN-16cs 0.01839 15.176389079606132 0.28010900162372004 False
2006kf 0.01955 15.520656631969038 0.19352900234280906 False
2006kf 0.01955 15.554456631969039 0.19365800234124847 False
2008hs 0.01835 15.5024865633592 0.4658300477947856 False
2008hs 0.01835 15.4847865633592 0.4326740514573207 False
2007au 0.01992 15.43409621906537 0.4053430178975247 False
2016W 0.01855 15.110308164936257 0.2944900755737778 False
2002kf 0.01948 15.432783430320807 0.2024831815198655 True
1992bc 0.01976 15.25822712328375 0.19765138754791814 False
2009ds 0.02033 15.256840580282244 0.23232943917179522 True
2009ds 0.02033 15.451640580282243 0.19055653544520823 True
2006ej 0.01926 15.34411521705487 0.18636400243276383 True
2006ej 0.01926 15.24581521705487 0.29433000154037847 True
2006ej 0.01926 15.32061521705487 0.1879740024119272 True
2006ej 0.01926 15.39281521705487 0.1858810024390852 True
2002jy 0.0187 15.743882396805601 0.1857630219945933 False
2016hpw 0.02019 15.561415073162197 0.24031361023472234 False
ATLAS16dqf 0.02019 15.319815073162196 0.3748513912153002 False
2005ki 0.02066 15.320454523451497 0.1857560024395785 True
2005ki 0.02066 15.315154523451497 0.17565300257989525 True
2005ki 0.02066 15.242654523451497 0.18882900239987682 True
ASASSN-15lg 0.02121 15.404455124976451 0.21288600212609501 False
2001dl 0.01983 15.870916549218602 0.37481200120826763 False
PSNJ1602512 0.02039 15.303297951758084 0.3328102299990412 False
2007st 0.02061 15.162693918248785 0.2154710188982459 False
ASASSN-17bs 0.02014 15.311167914605425 0.24804000730501205 False
2010A 0.02079 15.231598868950481 0.329340005491756 True
2003W 0.02087 15.423298462675053 0.229315 False
2003W 0.02087 15.384198462675053 0.253074 False
2001br 0.02046 15.55786391045677 0.29900760549098004 False
ASASSN-16lc 0.02001 15.441918867270413 0.21480417084648532 False
AT2016eoa 0.01993 15.41383171623379 0.22910209683706775 False
ASASSN-16lg 0.02093 15.121489590734358 0.20128627188555676 False
2004bw 0.02207 15.567823937289521 0.1945615223461229 False
2008Z 0.02146 15.866786450018484 0.30951100146132643 False
2008Z 0.02146 15.954386450018484 0.30290200149321106 False
2007bc 0.02187 15.505481303759279 0.1785540025317701 True
2007bc 0.02187 15.48378130375928 0.17510800258159354 True
2007bc 0.02187 15.491281303759278 0.1858010024330207 True
SN2016ajf 0.01978 15.50855045328315 0.3388970120348472 False
2009dc 0.02179 15.094501417742686 0.19717000229131504 False
2018fop 0.02017 15.334687446236096 0.1973391857775114 False
ASASSN-15uv 0.02104 15.36001691367104 0.3923960046140473 False
ASASSN-18da 0.02157 15.51698617453782 0.19399318857685643 False
2006et 0.0214 15.503175063525982 0.28215936006464387 True
2006et 0.0214 15.519075063525982 0.25220540282890325 True
1999dg 0.02263 15.607110686515302 0.24496436096680402 False
2001cp 0.02245 15.712378762171348 0.21528600838039366 False
1995ak 0.02193 15.419285696014674 0.24630901648563983 True
2009na 0.02209 15.496931914984089 0.1972560022905867 True
ASASSN-18iu 0.02202 15.631105169172667 0.18405919860885997 False
ATLAS16dpb 0.02238 15.793592526927625 0.2873660141185361 False
SNF20080514-002 0.02292 15.762681358258511 0.21446600210321323 False
2006dm 0.02161 15.550287159005153 0.178146569930442 False
2006dm 0.02161 15.567787159005153 0.25669439553286283 False
2008ia 0.02257 15.67283824501841 0.16767726910168954 False
2004bg 0.02214 15.522059406815583 0.19716402062409344 False
2004bg 0.02214 15.619759406815582 0.20268902006191145 False
2002cu 0.02217 15.527656596011372 0.22303403236402983 False
2006cp 0.02334 15.52062918732149 0.301448 True
2006cp 0.02334 15.60952918732149 0.241616 True
2000fa 0.02181 15.50712660764123 0.28745400628760637 True
2000fa 0.02181 15.547826607641229 0.2538380071202799 True
ASASSN-16bn 0.02253 15.784841303820276 0.2128201355352486 False
ASASSN-17aj 0.02253 15.480277420082809 0.2416382261060915 False
AT2017cfb 0.02382 15.592752152469613 0.21888800205697997 False
2006bq 0.02226 15.615344325735776 0.2014993223176239 True
2002ef 0.02224 15.429416072645697 0.3573062838235481 False
2010cr 0.02368 16.01760104512198 0.30367600148316726 False
ASASSN-15il 0.02374 15.60631227195215 0.19945050776142428 False
2000cn 0.0226 15.745584277602942 0.2660000152522807 True
2000cn 0.0226 15.717584277602942 0.235743017209871 True
2017hoq 0.0235 15.732190953697996 0.188819193112432 False
2009jb 0.02324 15.513302918824397 0.3392660477811208 False
2014ai 0.02317 15.771283463140092 0.26987402672568156 False
ASASSN-14fa 0.02262 15.628874868237592 0.2736423705566119 False
2004at 0.02287 15.664861720117333 0.17647000255510795 False
PS15cku 0.02222 15.79847066010564 0.2281100968335621 False
2007ci 0.02295 15.397157537557716 0.26559300169845856 False
2007ci 0.02295 15.179457537557715 0.27811500162198627 False
2009al 0.02328 15.734669224750807 0.2812873141521064 False
2009al 0.02328 15.757669224750806 0.22004240159093377 False
2009al 0.02328 15.727869224750807 0.22378039488280868 False
2009cz 0.02315 15.607068463042578 0.2588690017415014 False
2009cz 0.02315 15.607068463042578 0.1684870026757003 False
ASASSN-15nr 0.02309 15.579866541433251 0.2623855562113012 False
2004bk 0.02405 15.588200285625115 0.21418500210134572 False
2018enc 0.0245 15.748093306654457 0.21603816853812016 False
2007qe 0.0228 15.78513863837017 0.2048000549598068 False
2007qe 0.0228 15.695438638370172 0.25771704367491854 False
ATLAS17bas 0.02331 15.320814221889096 0.2603490017314158 False
ASASSN-15tz 0.0222 15.699898406071178 0.27270601488347884 False
2010ao 0.02422 15.692078715211858 0.2080560021625085 False
2006sr 0.02307 15.739396885951427 0.17877300251707215 True
ASASSN-15jt 0.02396 15.63790943448964 0.40279300111748784 False
ASASSN-16em 0.02296 15.740872639669393 0.2760661322019459 False
2000ca 0.02454 15.648271993730576 0.18840695457385112 False
1998eg 0.02358 15.84614980707103 0.19313600232740571 True
PS1-14xw 0.02436 15.852090793376044 0.3091530130830983 False
2010gp 0.02436 15.218290793376044 0.3975600101737577 False
2000bh 0.02421 15.627681986074716 0.22243445520622296 False
2007F 0.0242 15.690330043686648 0.20652900217773043 True
2007F 0.0242 15.832230043686648 0.18155800247724965 True
1993H 0.0245 15.92920842761033 0.230676031187754 False
AT2016bln 0.02425 15.8261149924906 0.19354102092037073 False
2006ac 0.02395 15.735924552897893 0.18215700247098623 True
2006ac 0.02395 15.701824552897893 0.19621500229395022 True
ASASSN-15sf 0.02349 15.97617672072329 0.23366924214101698 False
2005bg 0.02414 15.759554796729896 0.2001350022487343 False
2009D 0.02476 15.754279657512216 0.1597494046169299 True
2009D 0.02476 15.820879657512215 0.20820931044375415 True
2009D 0.02476 15.695579657512216 0.16872538309176718 True
PS16ccn 0.02395 15.924636688627933 0.1871756148793462 False
2008bf 0.02451 15.855411509817108 0.23402183520110326 True
2008bf 0.02451 15.801411509817108 0.22969818976842704 True
2008bf 0.02451 15.639111509817107 0.2324279643736793 True
1994M 0.02426 15.702303089596212 0.21208300212169645 True
2004br 0.02426 15.556503089596212 0.1804510024936174 False
ASASSN-16hz 0.02406 15.555551048518812 0.3164463193089172 False
2003he 0.02404 15.830614535058235 0.23902742275930722 False
2001cj 0.02491 15.946038025837835 0.22689200792000974 False
Gaia16agf 0.02553 15.963174229323254 0.26716600671561175 False
2007cq 0.02481 15.581295312788406 0.28677410007864607 True
2007cq 0.02481 15.592595312788406 0.17990315953011307 True
2003it 0.02413 15.823563012249336 0.20421900219894915 True
2007cq 0.02481 15.753395312788406 0.1748161641723022 True
